EU I-ORG
_RARE_ O
_FIRSTCAP_ I-MISC
call O
to O
boycott O
_FIRSTCAP_ I-MISC
_RARE_ O
_RARE_ O

Peter I-PER
_FIRSTCAP_ I-PER

_ALLCAP_ I-LOC
1996-08-22 O

_FIRSTCAP_ O
European I-ORG
_FIRSTCAP_ I-ORG
said O
_RARE_ O
Thursday O
it O
_RARE_ O
with O
_FIRSTCAP_ I-MISC
advice O
to O
consumers O
to O
_RARE_ O
_FIRSTCAP_ I-MISC
_RARE_ O
until O
scientists O
determine O
whether O
mad O
cow O
disease O
can O
be O
_RARE_ O
to O
sheep O
_RARE_ O

_FIRSTCAP_ I-LOC
_RARE_ O
representative O
to O
_RARE_ O
European I-ORG
_FIRSTCAP_ I-ORG
_RARE_ O
veterinary O
committee O
_FIRSTCAP_ I-PER
_FIRSTCAP_ I-PER
said O
_RARE_ O
Wednesday O
consumers O
should O
buy O
_RARE_ O
from O
countries O
other O
than O
Britain I-LOC
until O
_RARE_ O
scientific O
advice O
was O
_RARE_ O
_RARE_ O

" O
We O
_RARE_ O
_RARE_ O
support O
any O
such O
_RARE_ O
because O
we O
_RARE_ O
_RARE_ O
see O
any O
grounds O
_RARE_ O
it O
_RARE_ O
" O
_RARE_ O
_FIRSTCAP_ I-ORG
_RARE_ O
chief O
spokesman O
_FIRSTCAP_ I-PER
_RARE_ I-PER
der I-PER
_FIRSTCAP_ I-PER
told O
a O
news O
briefing O
_RARE_ O

He O
said O
further O
scientific O
study O
was O
required O
_RARE_ O
if O
it O
was O
found O
that O
action O
was O
needed O
it O
should O
be O
taken O
by O
_RARE_ O
European I-ORG
_FIRSTCAP_ I-ORG
_RARE_ O

He O
said O
a O
proposal O
last O
month O
by O
EU I-ORG
_FIRSTCAP_ O
Commissioner O
_FIRSTCAP_ I-PER
Fischler I-PER
to O
ban O
sheep O
_RARE_ O
_RARE_ O
_RARE_ O
_RARE_ O
spinal O
_RARE_ O
from O
_RARE_ O
human O
_RARE_ O
animal O
food O
chains O
was O
a O
highly O
specific O
_RARE_ O
_RARE_ O
move O
to O
_RARE_ O
human O
health O
_RARE_ O

Fischler I-PER
proposed O
_FIRSTCAP_ I-MISC
measures O
after O
reports O
from O
Britain I-LOC
_RARE_ O
_FIRSTCAP_ I-LOC
that O
under O
_RARE_ O
conditions O
sheep O
could O
contract O
_FIRSTCAP_ I-MISC
_FIRSTCAP_ I-MISC
_FIRSTCAP_ I-MISC
_RARE_ O
BSE I-MISC
_RARE_ O
-- O
mad O
cow O
disease O
_RARE_ O

But O
Fischler I-PER
agreed O
to O
review O
his O
proposal O
after O
_RARE_ O
EU I-ORG
_RARE_ O
standing O
veterinary O
committee O
_RARE_ O
_RARE_ O
animal O
health O
officials O
_RARE_ O
questioned O
if O
such O
action O
was O
_RARE_ O
as O
there O
was O
only O
a O
slight O
risk O
to O
human O
health O
_RARE_ O

Spanish I-MISC
_FIRSTCAP_ O
Minister O
_FIRSTCAP_ I-PER
_RARE_ I-PER
_FIRSTCAP_ I-PER
had O
earlier O
accused O
Fischler I-PER
_RARE_ O
an O
EU I-ORG
farm O
ministers O
_RARE_ O
meeting O
_RARE_ O
_RARE_ O
_RARE_ O
_RARE_ O
through O
" O
dangerous O
_RARE_ O
_RARE_ O
" O

_RARE_ O

Only O
_FIRSTCAP_ I-LOC
_RARE_ O
Britain I-LOC
backed O
Fischler I-PER
_RARE_ O
proposal O
_RARE_ O

_FIRSTCAP_ O
EU I-ORG
_RARE_ O
scientific O
veterinary O
_RARE_ O
_RARE_ O
_RARE_ O
are O
due O
to O
_RARE_ O
_RARE_ O
issue O
early O
next O
month O
_RARE_ O
make O
_RARE_ O
to O
_RARE_ O
senior O
veterinary O
officials O
_RARE_ O

_FIRSTCAP_ O
have O
long O
been O
known O
to O
contract O
_RARE_ O
_RARE_ O
a O
_RARE_ O
disease O
similar O
to O
BSE I-MISC
which O
_RARE_ O
believed O
to O
have O
been O
_RARE_ O
to O
cattle O
through O
feed O
containing O
animal O
waste O
_RARE_ O

_FIRSTCAP_ I-MISC
farmers O
denied O
_RARE_ O
Thursday O
there O
was O
any O
danger O
to O
human O
health O
from O
their O
sheep O
_RARE_ O
but O
expressed O
concern O
that O
_FIRSTCAP_ I-MISC
government O
advice O
to O
consumers O
to O
avoid O
_FIRSTCAP_ I-MISC
_RARE_ O
might O
_RARE_ O
consumers O
across O
Europe I-LOC
_RARE_ O

" O
What O
we O
have O
to O
be O
extremely O
_RARE_ O
_RARE_ O
_RARE_ O
how O
other O
countries O
are O
going O
to O
take O
_FIRSTCAP_ I-LOC
_RARE_ O
lead O
_RARE_ O
" O
_FIRSTCAP_ I-ORG
_FIRSTCAP_ I-ORG
_FIRSTCAP_ I-ORG
_RARE_ I-ORG
_FIRSTCAP_ I-ORG
_RARE_ O
_ALLCAP_ I-ORG
_RARE_ O
chairman O
John I-PER
Lloyd I-PER
_FIRSTCAP_ I-PER
said O
_RARE_ O
_ALLCAP_ I-ORG
_RARE_ I-ORG
_RARE_ O

Bonn I-LOC
